Sequence Number,Time (seconds),Temperature (°C)
0,0:00:00,25.0
1,0:00:30,23.3125
2,0:01:00,23.1875
3,0:01:30,23.1875
4,0:02:00,23.0625
5,0:02:30,23.125
6,0:03:00,23.125
7,0:03:30,23.125
8,0:04:00,23.0625
9,0:04:30,23.0625
10,0:05:00,23.0625
11,0:05:30,23.0625
12,0:06:00,23.0625
13,0:06:30,23.0
14,0:07:00,23.0
15,0:07:30,23.0
16,0:08:00,23.0
17,0:08:30,23.0625
18,0:09:00,23.0
19,0:09:30,23.0
20,0:10:00,23.0
21,0:10:30,23.0
22,0:11:00,23.0
23,0:11:30,23.0
24,0:12:00,23.0
25,0:12:30,23.0
26,0:13:00,23.0
27,0:13:30,23.0
28,0:14:00,23.0
29,0:14:30,23.0
30,0:15:00,22.875
31,0:15:30,22.5625
32,0:16:00,22.4375
33,0:16:30,22.5
34,0:17:00,22.5625
35,0:17:30,22.5625
36,0:18:00,22.5625
37,0:18:30,22.625
38,0:19:00,22.5625
39,0:19:30,22.5625
40,0:20:00,22.5
41,0:20:30,22.5625
42,0:21:00,22.5625
43,0:21:30,22.5625
44,0:22:00,22.625
45,0:22:30,22.6875
46,0:23:00,22.75
47,0:23:30,22.6875
48,0:24:00,22.75
49,0:24:30,22.75
50,0:25:00,22.75
51,0:25:30,22.75
52,0:26:00,22.75
53,0:26:30,22.8125
54,0:27:00,22.75
55,0:27:30,22.75
56,0:28:00,22.75
57,0:28:30,22.75
58,0:29:00,22.75
59,0:29:30,22.75
60,0:30:00,22.75
61,0:30:30,22.75
62,0:31:00,22.75
63,0:31:30,22.75
64,0:32:00,22.75
65,0:32:30,22.8125
66,0:33:00,22.8125
67,0:33:30,22.75
68,0:34:00,22.75
69,0:34:30,22.75
70,0:35:00,22.75
71,0:35:30,22.75
72,0:36:00,22.75
73,0:36:30,22.75
74,0:37:00,22.75
75,0:37:30,22.75
76,0:38:00,22.75
77,0:38:30,22.75
78,0:39:00,22.75
79,0:39:30,22.75
80,0:40:00,22.75
81,0:40:30,22.6875
82,0:41:00,22.6875
83,0:41:30,22.6875
84,0:42:00,22.6875
85,0:42:30,22.75
86,0:43:00,22.75
87,0:43:30,22.6875
88,0:44:00,22.6875
89,0:44:30,22.75
90,0:45:00,22.75
91,0:45:30,22.75
92,0:46:00,22.75
93,0:46:30,22.75
94,0:47:00,22.75
95,0:47:30,22.6875
96,0:48:00,22.75
97,0:48:30,22.75
98,0:49:00,22.75
99,0:49:30,22.75
100,0:50:00,22.6875
101,0:50:30,22.6875
102,0:51:00,22.6875
103,0:51:30,22.6875
104,0:52:00,22.6875
105,0:52:30,22.75
106,0:53:00,21.875
107,0:53:30,25.875
108,0:54:00,23.5625
109,0:54:30,23.9375
110,0:55:00,25.1875
111,0:55:30,25.125
112,0:56:00,30.9375
113,0:56:30,34.875
114,0:57:00,36.5625
115,0:57:30,37.375
116,0:58:00,37.8125
117,0:58:30,38.0625
118,0:59:00,38.25
119,0:59:30,38.4375
120,1:00:00,38.5
121,1:00:30,38.625
122,1:01:00,38.625
123,1:01:30,38.6875
124,1:02:00,38.6875
125,1:02:30,38.75
126,1:03:00,38.75
127,1:03:30,38.75
128,1:04:00,38.75
129,1:04:30,38.75
130,1:05:00,38.8125
131,1:05:30,38.8125
132,1:06:00,38.8125
133,1:06:30,38.8125
134,1:07:00,38.75
135,1:07:30,38.8125
136,1:08:00,38.8125
137,1:08:30,38.8125
138,1:09:00,38.8125
139,1:09:30,38.875
140,1:10:00,38.8125
141,1:10:30,38.8125
142,1:11:00,38.75
143,1:11:30,38.8125
144,1:12:00,38.8125
145,1:12:30,38.8125
146,1:13:00,38.8125
147,1:13:30,38.8125
148,1:14:00,38.8125
149,1:14:30,38.8125
150,1:15:00,38.875
151,1:15:30,38.8125
152,1:16:00,38.8125
153,1:16:30,38.75
154,1:17:00,38.8125
155,1:17:30,38.8125
156,1:18:00,38.8125
157,1:18:30,38.875
158,1:19:00,38.875
159,1:19:30,39.125
160,1:20:00,39.1875
161,1:20:30,39.25
162,1:21:00,39.1875
163,1:21:30,39.25
164,1:22:00,39.25
165,1:22:30,39.25
166,1:23:00,39.25
167,1:23:30,39.25
168,1:24:00,39.25
169,1:24:30,39.25
170,1:25:00,39.25
171,1:25:30,39.25
172,1:26:00,39.3125
173,1:26:30,39.25
174,1:27:00,39.3125
175,1:27:30,39.1875
176,1:28:00,39.1875
177,1:28:30,39.1875
178,1:29:00,39.25
179,1:29:30,39.1875
180,1:30:00,39.25
181,1:30:30,39.1875
182,1:31:00,39.25
183,1:31:30,39.25
184,1:32:00,39.1875
185,1:32:30,39.1875
186,1:33:00,39.25
187,1:33:30,39.1875
188,1:34:00,39.1875
189,1:34:30,39.125
190,1:35:00,38.9375
191,1:35:30,38.8125
192,1:36:00,38.75
193,1:36:30,38.5625
194,1:37:00,38.4375
195,1:37:30,38.375
196,1:38:00,38.25
197,1:38:30,38.1875
198,1:39:00,38.0625
199,1:39:30,38.0
200,1:40:00,37.9375
201,1:40:30,37.875
202,1:41:00,37.75
203,1:41:30,37.6875
204,1:42:00,37.9375
205,1:42:30,38.125
206,1:43:00,30.9375
207,1:43:30,27.75
208,1:44:00,28.375
209,1:44:30,27.6875
210,1:45:00,31.0
211,1:45:30,35.0625
212,1:46:00,36.75
213,1:46:30,37.5
214,1:47:00,38.0625
215,1:47:30,38.5
216,1:48:00,38.8125
217,1:48:30,38.9375
218,1:49:00,39.125
219,1:49:30,39.1875
220,1:50:00,39.3125
221,1:50:30,39.375
222,1:51:00,39.375
223,1:51:30,39.4375
224,1:52:00,39.4375
225,1:52:30,39.4375
226,1:53:00,39.5625
227,1:53:30,39.5625
228,1:54:00,39.625
229,1:54:30,39.625
230,1:55:00,39.6875
231,1:55:30,39.6875
232,1:56:00,39.6875
233,1:56:30,39.6875
234,1:57:00,39.75
235,1:57:30,39.6875
236,1:58:00,39.625
237,1:58:30,39.625
238,1:59:00,39.625
239,1:59:30,39.6875
240,2:00:00,39.6875
241,2:00:30,39.6875
242,2:01:00,39.75
243,2:01:30,39.75
244,2:02:00,39.75
245,2:02:30,39.6875
246,2:03:00,39.75
247,2:03:30,39.75
248,2:04:00,39.8125
249,2:04:30,39.6875
250,2:05:00,39.75
251,2:05:30,39.75
252,2:06:00,39.6875
253,2:06:30,39.75
254,2:07:00,39.6875
255,2:07:30,39.6875
256,2:08:00,39.6875
257,2:08:30,39.75
258,2:09:00,39.75
259,2:09:30,39.75
260,2:10:00,39.6875
261,2:10:30,39.75
262,2:11:00,39.75
263,2:11:30,39.6875
264,2:12:00,39.75
265,2:12:30,39.75
266,2:13:00,39.8125
267,2:13:30,39.75
268,2:14:00,39.8125
269,2:14:30,39.75
270,2:15:00,39.75
271,2:15:30,39.75
272,2:16:00,34.0625
273,2:16:30,30.3125
274,2:17:00,28.875
275,2:17:30,28.25
276,2:18:00,27.9375
277,2:18:30,27.8125
278,2:19:00,27.6875
279,2:19:30,27.625
280,2:20:00,27.5625
281,2:20:30,27.5625
282,2:21:00,27.5
283,2:21:30,27.5
284,2:22:00,27.5
285,2:22:30,27.4375
286,2:23:00,27.4375
287,2:23:30,27.375
288,2:24:00,27.375
289,2:24:30,27.375
290,2:25:00,27.375
291,2:25:30,27.3125
292,2:26:00,27.3125
293,2:26:30,27.3125
294,2:27:00,27.3125
295,2:27:30,27.3125
296,2:28:00,27.25
297,2:28:30,27.1875
298,2:29:00,27.1875
299,2:29:30,27.1875
300,2:30:00,27.1875
301,2:30:30,27.1875
302,2:31:00,27.125
303,2:31:30,27.125
304,2:32:00,27.125
305,2:32:30,27.125
306,2:33:00,27.0625
307,2:33:30,27.0625
308,2:34:00,27.0625
309,2:34:30,27.0625
310,2:35:00,27.0
311,2:35:30,27.0
312,2:36:00,26.9375
313,2:36:30,26.9375
314,2:37:00,26.9375
315,2:37:30,26.9375
316,2:38:00,26.875
317,2:38:30,26.875
318,2:39:00,26.875
319,2:39:30,26.875
320,2:40:00,26.8125
321,2:40:30,26.8125
322,2:41:00,26.8125
323,2:41:30,26.8125
324,2:42:00,26.8125
325,2:42:30,26.75
326,2:43:00,26.75
327,2:43:30,26.8125
328,2:44:00,26.75
329,2:44:30,26.6875
330,2:45:00,26.75
331,2:45:30,26.6875
332,2:46:00,26.6875
333,2:46:30,26.6875
334,2:47:00,26.6875
335,2:47:30,26.6875
336,2:48:00,26.6875
337,2:48:30,26.6875
338,2:49:00,26.625
339,2:49:30,26.625
340,2:50:00,26.5625
341,2:50:30,26.5625
342,2:51:00,26.5625
343,2:51:30,26.625
344,2:52:00,26.5625
345,2:52:30,26.5
346,2:53:00,26.5
347,2:53:30,26.5
348,2:54:00,26.5
349,2:54:30,26.5
350,2:55:00,26.5625
351,2:55:30,26.5
352,2:56:00,26.5
353,2:56:30,26.4375
354,2:57:00,26.5
355,2:57:30,26.4375
356,2:58:00,26.4375
357,2:58:30,26.375
358,2:59:00,26.4375
359,2:59:30,26.4375
360,3:00:00,26.3125
361,3:00:30,26.375
362,3:01:00,26.3125
363,3:01:30,26.3125
364,3:02:00,26.3125
365,3:02:30,26.3125
366,3:03:00,26.3125
367,3:03:30,26.25
368,3:04:00,26.25
369,3:04:30,26.3125
370,3:05:00,26.25
371,3:05:30,26.25
372,3:06:00,26.25
373,3:06:30,26.1875
374,3:07:00,26.1875
375,3:07:30,26.1875
376,3:08:00,26.25
377,3:08:30,26.1875
378,3:09:00,26.1875
379,3:09:30,26.125
380,3:10:00,26.125
381,3:10:30,26.125
382,3:11:00,26.0625
383,3:11:30,26.0625
384,3:12:00,26.0625
385,3:12:30,26.0
386,3:13:00,26.0
387,3:13:30,26.0
388,3:14:00,26.0
389,3:14:30,26.0
390,3:15:00,26.0
391,3:15:30,26.0625
392,3:16:00,26.0
393,3:16:30,26.0625
394,3:17:00,25.9375
395,3:17:30,26.0
396,3:18:00,26.0
397,3:18:30,25.9375
398,3:19:00,25.9375
399,3:19:30,25.9375
400,3:20:00,25.9375
401,3:20:30,25.9375
402,3:21:00,25.875
403,3:21:30,25.875
404,3:22:00,25.875
405,3:22:30,25.8125
406,3:23:00,25.8125
407,3:23:30,25.8125
408,3:24:00,25.8125
409,3:24:30,25.8125
410,3:25:00,25.8125
411,3:25:30,25.8125
412,3:26:00,25.8125
413,3:26:30,25.75
414,3:27:00,25.8125
415,3:27:30,25.75
416,3:28:00,25.75
417,3:28:30,25.75
418,3:29:00,25.75
419,3:29:30,25.75
420,3:30:00,25.75
421,3:30:30,25.6875
422,3:31:00,25.75
423,3:31:30,25.6875
424,3:32:00,25.6875
425,3:32:30,25.6875
426,3:33:00,25.6875
427,3:33:30,25.6875
428,3:34:00,25.625
429,3:34:30,25.625
430,3:35:00,25.625
431,3:35:30,25.625
432,3:36:00,25.6875
433,3:36:30,25.625
434,3:37:00,25.625
435,3:37:30,25.625
436,3:38:00,25.625
437,3:38:30,25.625
438,3:39:00,25.625
439,3:39:30,25.625
440,3:40:00,25.5625
441,3:40:30,25.5625
442,3:41:00,25.5625
443,3:41:30,25.625
444,3:42:00,25.5625
445,3:42:30,25.5
446,3:43:00,25.5
447,3:43:30,25.5
448,3:44:00,25.5
449,3:44:30,25.5625
450,3:45:00,25.5
451,3:45:30,25.5
452,3:46:00,25.5
453,3:46:30,25.5
454,3:47:00,25.4375
455,3:47:30,25.5
456,3:48:00,25.4375
457,3:48:30,25.4375
458,3:49:00,25.4375
459,3:49:30,25.4375
460,3:50:00,25.4375
461,3:50:30,25.375
462,3:51:00,25.375
463,3:51:30,25.375
464,3:52:00,25.375
465,3:52:30,25.375
466,3:53:00,25.375
467,3:53:30,25.375
468,3:54:00,25.375
469,3:54:30,25.375
470,3:55:00,25.375
471,3:55:30,25.375
472,3:56:00,25.375
473,3:56:30,25.3125
474,3:57:00,25.3125
475,3:57:30,25.3125
476,3:58:00,25.3125
477,3:58:30,25.25
478,3:59:00,25.3125
479,3:59:30,25.25
480,4:00:00,25.25
481,4:00:30,25.3125
482,4:01:00,25.25
483,4:01:30,25.25
484,4:02:00,25.25
485,4:02:30,25.25
486,4:03:00,25.25
487,4:03:30,25.1875
488,4:04:00,25.25
489,4:04:30,25.1875
490,4:05:00,25.1875
491,4:05:30,25.1875
492,4:06:00,25.1875
493,4:06:30,25.125
494,4:07:00,25.125
495,4:07:30,25.1875
496,4:08:00,25.125
497,4:08:30,25.1875
498,4:09:00,25.125
499,4:09:30,25.125
500,4:10:00,25.125
501,4:10:30,25.0625
502,4:11:00,25.125
503,4:11:30,25.125
504,4:12:00,25.125
505,4:12:30,25.0625
506,4:13:00,25.125
507,4:13:30,25.125
508,4:14:00,25.125
509,4:14:30,25.0
510,4:15:00,25.0
511,4:15:30,25.0
512,4:16:00,25.0625
513,4:16:30,24.9375
514,4:17:00,24.9375
515,4:17:30,24.9375
516,4:18:00,24.9375
517,4:18:30,24.9375
518,4:19:00,24.9375
519,4:19:30,24.9375
520,4:20:00,24.9375
521,4:20:30,24.9375
522,4:21:00,24.875
523,4:21:30,24.9375
524,4:22:00,24.875
525,4:22:30,24.875
526,4:23:00,24.875
527,4:23:30,24.9375
528,4:24:00,24.875
529,4:24:30,24.9375
530,4:25:00,24.875
531,4:25:30,24.875
532,4:26:00,24.875
533,4:26:30,24.8125
534,4:27:00,24.875
535,4:27:30,24.875
536,4:28:00,24.875
537,4:28:30,24.8125
538,4:29:00,24.875
539,4:29:30,24.8125
540,4:30:00,24.8125
541,4:30:30,24.8125
542,4:31:00,24.8125
543,4:31:30,24.8125
544,4:32:00,24.8125
545,4:32:30,24.8125
546,4:33:00,24.8125
547,4:33:30,24.8125
548,4:34:00,24.8125
549,4:34:30,24.75
550,4:35:00,24.75
551,4:35:30,24.8125
552,4:36:00,24.8125
553,4:36:30,24.75
554,4:37:00,24.75
555,4:37:30,24.6875
556,4:38:00,24.6875
557,4:38:30,24.75
558,4:39:00,24.75
559,4:39:30,24.6875
560,4:40:00,24.75
561,4:40:30,24.75
562,4:41:00,24.6875
563,4:41:30,24.6875
564,4:42:00,24.8125
565,4:42:30,24.6875
566,4:43:00,24.75
567,4:43:30,24.6875
568,4:44:00,24.75
569,4:44:30,24.75
570,4:45:00,24.6875
571,4:45:30,24.6875
572,4:46:00,24.6875
573,4:46:30,24.6875
574,4:47:00,24.6875
575,4:47:30,24.6875
576,4:48:00,24.625
577,4:48:30,24.625
578,4:49:00,24.625
579,4:49:30,24.625
580,4:50:00,24.625
581,4:50:30,24.625
582,4:51:00,24.625
583,4:51:30,24.625
584,4:52:00,24.625
585,4:52:30,24.625
586,4:53:00,24.625
587,4:53:30,24.625
588,4:54:00,24.625
589,4:54:30,24.625
590,4:55:00,24.625
591,4:55:30,24.625
592,4:56:00,24.625
593,4:56:30,24.625
594,4:57:00,24.5625
595,4:57:30,24.5625
596,4:58:00,24.5625
597,4:58:30,24.625
598,4:59:00,24.5625
599,4:59:30,24.5625
600,5:00:00,24.5625
601,5:00:30,24.5625
602,5:01:00,24.5625
603,5:01:30,24.5
604,5:02:00,24.5625
605,5:02:30,24.5625
606,5:03:00,24.5
607,5:03:30,24.5
608,5:04:00,24.5
609,5:04:30,24.5
610,5:05:00,24.5
611,5:05:30,24.5625
612,5:06:00,24.5625
613,5:06:30,24.5625
614,5:07:00,24.5
615,5:07:30,24.5
616,5:08:00,24.5
617,5:08:30,24.5
618,5:09:00,24.5
619,5:09:30,24.5
620,5:10:00,24.5
621,5:10:30,24.5
622,5:11:00,24.5
623,5:11:30,24.5
624,5:12:00,24.5
625,5:12:30,24.5
626,5:13:00,24.5
627,5:13:30,24.5
628,5:14:00,24.4375
629,5:14:30,24.4375
630,5:15:00,24.5
631,5:15:30,24.4375
632,5:16:00,24.5
633,5:16:30,24.4375
634,5:17:00,24.4375
635,5:17:30,24.4375
636,5:18:00,24.4375
637,5:18:30,24.4375
638,5:19:00,24.4375
639,5:19:30,24.5
640,5:20:00,24.375
641,5:20:30,24.375
642,5:21:00,24.4375
643,5:21:30,24.375
644,5:22:00,24.4375
645,5:22:30,24.4375
646,5:23:00,24.375
647,5:23:30,24.375
648,5:24:00,24.375
649,5:24:30,24.3125
650,5:25:00,24.25
651,5:25:30,24.25
652,5:26:00,24.1875
653,5:26:30,24.1875
654,5:27:00,24.1875
655,5:27:30,24.1875
656,5:28:00,24.25
657,5:28:30,24.25
658,5:29:00,24.25
659,5:29:30,24.1875
660,5:30:00,24.1875
661,5:30:30,24.25
662,5:31:00,24.1875
663,5:31:30,24.3125
664,5:32:00,24.25
665,5:32:30,24.25
666,5:33:00,24.25
667,5:33:30,24.25
668,5:34:00,24.25
669,5:34:30,24.25
670,5:35:00,24.25
671,5:35:30,24.25
672,5:36:00,24.1875
673,5:36:30,24.25
674,5:37:00,24.25
675,5:37:30,24.1875
676,5:38:00,24.1875
677,5:38:30,24.1875
678,5:39:00,24.1875
679,5:39:30,24.1875
680,5:40:00,24.1875
681,5:40:30,24.1875
682,5:41:00,24.1875
683,5:41:30,24.1875
684,5:42:00,24.1875
685,5:42:30,24.1875
686,5:43:00,24.1875
687,5:43:30,24.1875
688,5:44:00,24.1875
689,5:44:30,24.1875
690,5:45:00,24.1875
691,5:45:30,24.1875
692,5:46:00,24.1875
693,5:46:30,24.125
694,5:47:00,24.125
695,5:47:30,24.1875
696,5:48:00,24.1875
697,5:48:30,24.1875
698,5:49:00,24.125
699,5:49:30,24.125
700,5:50:00,24.125
701,5:50:30,24.125
702,5:51:00,24.125
703,5:51:30,24.125
704,5:52:00,24.125
705,5:52:30,24.125
706,5:53:00,24.125
707,5:53:30,24.125
708,5:54:00,24.125
709,5:54:30,24.125
710,5:55:00,24.125
711,5:55:30,24.125
712,5:56:00,24.0625
713,5:56:30,24.125
714,5:57:00,24.125
715,5:57:30,24.125
716,5:58:00,24.125
717,5:58:30,24.125
718,5:59:00,24.0625
719,5:59:30,24.125
720,6:00:00,24.0625
721,6:00:30,24.0625
722,6:01:00,24.0
723,6:01:30,23.9375
724,6:02:00,23.9375
725,6:02:30,23.875
726,6:03:00,23.8125
727,6:03:30,23.8125
728,6:04:00,23.75
729,6:04:30,23.8125
730,6:05:00,23.75
731,6:05:30,23.8125
732,6:06:00,23.8125
733,6:06:30,23.8125
734,6:07:00,23.8125
735,6:07:30,23.875
736,6:08:00,23.8125
737,6:08:30,23.8125
738,6:09:00,23.875
739,6:09:30,23.875
740,6:10:00,23.875
741,6:10:30,23.875
742,6:11:00,23.875
743,6:11:30,23.875
744,6:12:00,23.875
745,6:12:30,23.875
746,6:13:00,23.8125
747,6:13:30,23.875
748,6:14:00,23.8125
749,6:14:30,23.8125
750,6:15:00,23.875
751,6:15:30,23.875
752,6:16:00,23.875
753,6:16:30,23.875
754,6:17:00,23.875
755,6:17:30,23.875
756,6:18:00,23.875
757,6:18:30,23.8125
758,6:19:00,23.8125
759,6:19:30,23.8125
760,6:20:00,23.875
761,6:20:30,23.8125
762,6:21:00,23.75
763,6:21:30,23.75
764,6:22:00,23.75
765,6:22:30,23.6875
766,6:23:00,23.75
767,6:23:30,23.75
768,6:24:00,23.75
769,6:24:30,23.75
770,6:25:00,23.75
771,6:25:30,23.75
772,6:26:00,23.75
773,6:26:30,23.75
774,6:27:00,23.75
775,6:27:30,23.8125
776,6:28:00,23.75
777,6:28:30,23.75
778,6:29:00,23.6875
779,6:29:30,23.8125
780,6:30:00,23.75
781,6:30:30,23.75
782,6:31:00,23.75
783,6:31:30,23.75
784,6:32:00,23.75
785,6:32:30,23.75
786,6:33:00,23.75
787,6:33:30,23.8125
788,6:34:00,23.75
789,6:34:30,23.8125
790,6:35:00,23.8125
791,6:35:30,23.8125
792,6:36:00,23.75
793,6:36:30,23.8125
794,6:37:00,23.75
795,6:37:30,23.75
796,6:38:00,23.8125
797,6:38:30,23.75
798,6:39:00,23.75
799,6:39:30,23.75
800,6:40:00,23.75
801,6:40:30,23.75
802,6:41:00,23.75
803,6:41:30,23.75
804,6:42:00,23.75
805,6:42:30,23.75
806,6:43:00,23.75
807,6:43:30,23.75
808,6:44:00,23.75
809,6:44:30,23.75
810,6:45:00,23.75
811,6:45:30,23.75
812,6:46:00,23.75
813,6:46:30,23.6875
814,6:47:00,23.6875
815,6:47:30,23.6875
816,6:48:00,23.75
817,6:48:30,23.75
818,6:49:00,23.75
819,6:49:30,23.75
820,6:50:00,23.75
821,6:50:30,23.6875
822,6:51:00,23.75
823,6:51:30,23.75
824,6:52:00,23.75
825,6:52:30,23.8125
826,6:53:00,23.6875
827,6:53:30,23.75
828,6:54:00,23.6875
829,6:54:30,23.75
830,6:55:00,23.75
831,6:55:30,23.6875
832,6:56:00,23.75
833,6:56:30,23.6875
834,6:57:00,23.6875
835,6:57:30,23.75
836,6:58:00,23.75
837,6:58:30,23.75
838,6:59:00,23.75
839,6:59:30,23.75
840,7:00:00,23.75
841,7:00:30,23.75
842,7:01:00,23.75
843,7:01:30,23.75
844,7:02:00,23.75
845,7:02:30,23.6875
846,7:03:00,23.75
847,7:03:30,23.75
848,7:04:00,23.75
849,7:04:30,23.75
850,7:05:00,23.75
851,7:05:30,23.6875
852,7:06:00,23.75
853,7:06:30,23.75
854,7:07:00,23.75
855,7:07:30,23.75
856,7:08:00,23.75
857,7:08:30,23.75
858,7:09:00,23.6875
859,7:09:30,23.6875
860,7:10:00,23.75
861,7:10:30,23.75
862,7:11:00,23.6875
863,7:11:30,23.75
864,7:12:00,23.75
865,7:12:30,23.6875
866,7:13:00,23.6875
867,7:13:30,23.75
868,7:14:00,23.6875
869,7:14:30,23.6875
870,7:15:00,23.6875
871,7:15:30,23.6875
872,7:16:00,23.6875
873,7:16:30,23.6875
874,7:17:00,23.6875
875,7:17:30,23.75
876,7:18:00,23.6875
877,7:18:30,23.75
878,7:19:00,23.75
879,7:19:30,23.6875
880,7:20:00,23.6875
881,7:20:30,23.75
882,7:21:00,23.75
883,7:21:30,23.6875
884,7:22:00,23.6875
885,7:22:30,23.6875
886,7:23:00,23.6875
887,7:23:30,23.6875
888,7:24:00,23.6875
889,7:24:30,23.6875
890,7:25:00,23.6875
891,7:25:30,23.6875
892,7:26:00,23.6875
893,7:26:30,23.75
894,7:27:00,23.6875
895,7:27:30,23.6875
896,7:28:00,23.75
897,7:28:30,23.6875
898,7:29:00,23.6875
899,7:29:30,23.6875
900,7:30:00,23.75
901,7:30:30,23.625
902,7:31:00,23.6875
903,7:31:30,23.75
904,7:32:00,23.75
905,7:32:30,23.6875
906,7:33:00,23.6875
907,7:33:30,23.75
908,7:34:00,23.6875
909,7:34:30,23.6875
910,7:35:00,23.75
911,7:35:30,23.6875
912,7:36:00,23.6875
913,7:36:30,23.75
914,7:37:00,23.6875
915,7:37:30,23.6875
916,7:38:00,23.6875
917,7:38:30,23.6875
918,7:39:00,23.6875
919,7:39:30,23.75
920,7:40:00,23.75
921,7:40:30,23.6875
922,7:41:00,23.75
923,7:41:30,23.6875
924,7:42:00,23.6875
925,7:42:30,23.6875
926,7:43:00,23.6875
927,7:43:30,23.6875
928,7:44:00,23.75
929,7:44:30,23.6875
930,7:45:00,23.625
931,7:45:30,23.75
932,7:46:00,23.6875
933,7:46:30,23.75
934,7:47:00,23.6875
935,7:47:30,23.6875
936,7:48:00,23.6875
937,7:48:30,23.6875
938,7:49:00,23.6875
939,7:49:30,23.6875
940,7:50:00,23.6875
941,7:50:30,23.6875
942,7:51:00,23.6875
943,7:51:30,23.6875
944,7:52:00,23.6875
945,7:52:30,23.6875
946,7:53:00,23.75
947,7:53:30,23.6875
948,7:54:00,23.6875
949,7:54:30,23.6875
950,7:55:00,23.6875
951,7:55:30,23.6875
952,7:56:00,23.6875
953,7:56:30,23.6875
954,7:57:00,23.6875
955,7:57:30,23.6875
956,7:58:00,23.75
957,7:58:30,23.6875
958,7:59:00,23.6875
959,7:59:30,23.75
960,8:00:00,23.6875
961,8:00:30,23.6875
962,8:01:00,23.75
963,8:01:30,23.75
964,8:02:00,23.6875
965,8:02:30,23.625
966,8:03:00,23.6875
967,8:03:30,23.6875
968,8:04:00,23.6875
969,8:04:30,23.625
970,8:05:00,23.6875
971,8:05:30,23.6875
972,8:06:00,23.6875
973,8:06:30,23.6875
974,8:07:00,23.6875
975,8:07:30,23.6875
976,8:08:00,23.625
977,8:08:30,23.6875
978,8:09:00,23.6875
979,8:09:30,23.6875
980,8:10:00,23.625
981,8:10:30,23.6875
982,8:11:00,23.625
983,8:11:30,23.6875
984,8:12:00,23.625
985,8:12:30,23.625
986,8:13:00,23.6875
987,8:13:30,23.625
988,8:14:00,23.625
989,8:14:30,23.625
990,8:15:00,23.6875
991,8:15:30,23.625
992,8:16:00,23.625
993,8:16:30,23.625
994,8:17:00,23.625
995,8:17:30,23.625
996,8:18:00,23.625
